item_id,category,stock_level,reorder_point,reorder_frequency_days,lead_time_days,daily_demand,demand_std_dev,item_popularity_score,storage_location_id,zone,picking_time_seconds,handling_cost_per_unit,unit_price,holding_cost_per_unit_day,stockout_count_last_month,order_fulfillment_rate,total_orders_last_month,turnover_ratio,layout_efficiency_score,last_restock_date,forecasted_demand_next_7d,KPI_score,days_of_stock_coverage,expected_demand_during_lead_time,lead_time_stock_gap,below_reorder_point,stockout_risk,inventory_value,coverage_to_lead_time_ratio,overstock_candidate
ITM10011,Groceries,20,66,3,7,44.27,4.34,0.36,L95,A,135,2.76,35.51,0.18,1,0.7,599,6.16,0.24,2024-04-06,63.97,0.632,0.45177320984865593,309.89000000000004,-289.89000000000004,True,True,710.1999999999999,0.06453902997837942,False
ITM10012,Automotive,418,13,7,3,29.28,7.95,0.29,L70,A,33,1.23,148.01,1.99,8,0.98,588,4.2,0.9,2024-10-27,119.26,0.473,14.275956284153004,87.84,330.15999999999997,False,False,61868.17999999999,4.758652094717668,False
ITM10013,Apparel,56,84,14,5,18.35,8.24,0.53,L12,D,131,4.84,154.27,0.58,1,0.77,331,12.88,0.94,2024-12-09,254.1,0.836,3.0517711171662123,91.75,-35.75,True,True,8639.12,0.6103542234332424,False
ITM10014,Pharma,160,58,14,4,41.22,9.31,0.56,L76,C,141,1.42,149.24,0.9,3,0.91,328,1.77,0.25,2024-10-13,115.62,0.506,3.881610868510432,164.88,-4.8799999999999955,False,True,23878.4,0.970402717127608,False
ITM10015,Apparel,251,16,5,5,39.34,7.18,0.29,L55,B,146,1.36,197.96,1.58,1,0.85,169,7.54,0.24,2024-04-21,129.55,0.541,6.3802745297407215,196.70000000000002,54.29999999999998,False,False,49687.96,1.2760549059481443,False
ITM10016,Pharma,155,20,9,7,27.66,2.83,0.65,L5,A,139,0.64,87.75,1.36,0,0.8,302,7.65,0.38,2024-09-02,102.57,0.602,5.603759942154736,193.62,-38.620000000000005,False,True,13601.25,0.8005371345935337,False
ITM10017,Automotive,408,63,8,7,8.56,5.3,0.75,L4,C,172,1.98,139.62,1.58,9,0.78,920,8.98,0.94,2024-04-16,270.86,0.526,47.66355140186916,59.92,348.08,False,False,56964.96,6.809078771695594,False
ITM10018,Electronics,207,96,10,8,13.3,0.81,0.44,L12,C,132,0.61,46.79,0.99,6,0.98,526,3.77,0.82,2024-06-19,202.37,0.591,15.56390977443609,106.4,100.6,False,False,9685.53,1.9454887218045112,False
ITM10019,Pharma,147,54,7,6,37.19,6.65,0.63,L28,B,47,2.74,85.94,1.84,4,0.97,114,13.2,0.74,2024-06-04,70.55,0.654,3.95267545038989,223.14,-76.13999999999999,False,True,12633.18,0.6587792417316484,False
ITM10020,Apparel,220,32,4,8,40.5,5.77,0.55,L30,C,152,2.78,103.4,1.6,2,0.85,635,14.51,0.82,2024-01-08,227.39,0.727,5.432098765432099,324.0,-104.0,False,True,22748.0,0.6790123456790124,False
ITM10021,Automotive,146,37,11,3,14.68,6.83,0.28,L65,A,179,0.74,50.82,0.69,7,0.78,352,8.69,0.36,2024-04-18,21.17,0.535,9.945504087193461,44.04,101.96000000000001,False,False,7419.72,3.315168029064487,False
ITM10022,Pharma,276,66,13,2,19.03,9.34,0.76,L78,D,140,1.58,182.29,1.9,4,0.73,366,4.59,0.41,2024-04-07,124.96,0.419,14.503415659485023,38.06,237.94,False,False,50312.04,7.251707829742512,False
ITM10023,Electronics,183,35,10,5,4.8,7.03,0.82,L4,C,168,4.24,146.08,1.93,0,0.75,223,13.28,0.45,2024-03-01,273.83,0.624,38.125,24.0,159.0,False,False,26732.640000000003,7.625,False
ITM10024,Electronics,54,34,8,3,35.96,3.54,0.68,L72,D,178,2.58,63.91,0.89,8,0.86,949,14.83,0.68,2024-09-02,210.04,0.657,1.5016685205784204,107.88,-53.879999999999995,False,True,3451.14,0.5005561735261401,False
ITM10025,Groceries,213,63,12,9,1.18,2.39,0.39,L26,B,66,2.46,35.64,1.34,4,0.79,464,11.39,0.69,2024-05-04,240.0,0.634,180.5084745762712,10.62,202.38,False,False,7591.32,20.056497175141246,False
ITM10026,Groceries,210,38,9,2,3.28,8.62,0.93,L92,B,51,3.64,64.69,1.65,2,0.71,309,5.67,0.37,2024-12-22,280.08,0.487,64.02439024390245,6.56,203.44,False,False,13584.9,32.01219512195122,False
ITM10027,Apparel,123,92,11,5,1.21,2.35,0.51,L84,C,62,3.72,128.37,1.65,5,0.84,334,4.3,0.55,2024-11-05,234.62,0.47,101.65289256198348,6.05,116.95,False,False,15789.51,20.330578512396695,True
ITM10028,Pharma,42,45,9,3,32.62,2.04,0.34,L90,D,128,3.93,167.02,0.13,7,0.92,122,3.19,0.75,2024-12-26,35.69,0.624,1.2875536480686696,97.85999999999999,-55.859999999999985,True,True,7014.84,0.4291845493562232,False
ITM10029,Pharma,284,23,5,4,21.45,2.46,0.47,L70,A,130,4.24,105.6,1.3,1,0.97,128,4.29,0.45,2024-04-14,76.89,0.591,13.240093240093241,85.8,198.2,False,False,29990.399999999998,3.3100233100233103,False
ITM10030,Groceries,309,87,8,5,15.58,5.33,0.72,L54,D,65,1.55,29.47,1.95,2,0.88,93,4.18,0.26,2024-07-22,155.0,0.449,19.833119383825416,77.9,231.1,False,False,9106.23,3.966623876765083,False
ITM10031,Pharma,449,44,13,3,45.72,1.68,0.86,L29,C,96,0.8,57.37,0.54,6,0.92,794,14.54,0.36,2024-05-02,14.02,0.676,9.820647419072616,137.16,311.84000000000003,False,False,25759.129999999997,3.273549139690872,False
ITM10032,Pharma,481,39,13,7,10.45,9.41,0.42,L58,D,85,2.21,75.58,1.61,1,0.81,52,10.01,0.33,2024-10-09,191.13,0.58,46.02870813397129,73.14999999999999,407.85,False,False,36353.979999999996,6.57552973342447,False
ITM10033,Electronics,403,26,9,2,20.08,9.68,0.31,L76,D,94,4.35,130.87,1.12,4,0.85,492,3.34,0.71,2024-06-13,200.6,0.565,20.06972111553785,40.16,362.84000000000003,False,False,52740.61,10.034860557768924,True
ITM10034,Groceries,279,76,4,3,47.08,9.75,0.66,L36,B,94,0.85,56.86,0.52,8,0.92,128,7.83,0.25,2024-05-24,211.97,0.526,5.9260832625318605,141.24,137.76,False,False,15863.94,1.9753610875106202,False
ITM10035,Automotive,433,89,5,4,21.93,0.87,0.93,L1,C,169,3.09,54.45,0.2,6,0.92,426,3.58,0.91,2024-07-13,171.16,0.674,19.744642042863656,87.72,345.28,False,False,23576.850000000002,4.936160510715914,False
ITM10036,Groceries,498,39,6,8,28.18,9.49,0.26,L98,D,90,3.65,64.38,1.54,2,0.83,742,9.48,0.27,2024-08-26,141.19,0.552,17.67210787792761,225.44,272.56,False,False,32061.239999999998,2.209013484740951,False
ITM10037,Automotive,377,54,12,5,4.94,9.98,0.82,L21,C,174,2.67,122.58,0.7,1,0.86,188,5.78,0.68,2024-09-30,258.11,0.695,76.3157894736842,24.700000000000003,352.3,False,False,46212.659999999996,15.26315789473684,False
ITM10038,Electronics,94,88,8,9,39.72,9.45,0.53,L90,A,17,1.65,103.6,0.81,9,0.98,951,3.74,0.94,2024-11-28,232.53,0.573,2.366565961732125,357.48,-263.48,False,True,9738.4,0.2629517735257917,False
ITM10039,Apparel,374,98,3,5,21.72,6.87,0.82,L55,C,20,1.97,169.91,1.02,8,0.89,864,4.4,0.25,2024-07-02,187.58,0.425,17.21915285451197,108.6,265.4,False,False,63546.34,3.4438305709023944,False
ITM10040,Pharma,91,60,11,5,40.23,7.16,0.55,L44,A,147,0.82,142.61,1.06,8,0.89,56,10.45,0.51,2024-06-06,23.34,0.553,2.2619935371613225,201.14999999999998,-110.14999999999998,False,True,12977.510000000002,0.4523987074322645,False
ITM10041,Electronics,278,56,7,4,13.44,1.66,0.44,L36,C,124,1.82,136.7,0.49,8,0.94,932,6.71,0.46,2024-05-13,211.24,0.56,20.68452380952381,53.76,224.24,False,False,38002.6,5.1711309523809526,False
ITM10042,Pharma,417,62,14,2,21.7,8.81,0.73,L20,C,90,0.7,39.38,1.37,9,0.73,927,8.18,0.48,2024-07-03,171.87,0.434,19.216589861751153,43.4,373.6,False,False,16421.460000000003,9.608294930875577,False
ITM10043,Apparel,207,73,9,5,39.54,1.07,0.91,L28,D,96,3.77,20.49,1.42,2,0.86,885,12.5,0.68,2024-09-19,211.11,0.693,5.235204855842185,197.7,9.300000000000011,False,False,4241.429999999999,1.047040971168437,False
ITM10044,Apparel,480,47,11,2,48.72,3.52,0.39,L98,D,51,4.54,106.9,0.37,0,0.99,774,10.18,0.41,2024-09-11,100.31,0.779,9.852216748768473,97.44,382.56,False,False,51312.0,4.926108374384237,False
ITM10045,Electronics,192,73,11,3,3.92,9.92,0.51,L44,A,46,3.35,23.61,1.11,8,0.81,562,7.47,0.22,2024-08-26,235.33,0.435,48.97959183673469,11.76,180.24,False,False,4533.12,16.3265306122449,False
ITM10046,Apparel,499,96,3,7,40.81,4.51,0.31,L14,A,101,3.46,79.16,1.26,6,0.79,745,14.36,0.97,2024-02-20,131.2,0.697,12.22739524626317,285.67,213.32999999999998,False,False,39500.84,1.746770749466167,False
ITM10047,Automotive,309,98,3,9,15.73,1.75,0.27,L12,B,94,2.62,14.96,0.45,1,0.88,812,4.0,0.8,2024-08-28,269.4,0.724,19.6439923712651,141.57,167.43,False,False,4622.64,2.1826658190294554,False
ITM10048,Apparel,64,16,5,7,27.99,9.71,0.8,L49,D,68,1.2,43.59,1.8,5,0.77,776,5.05,0.31,2024-06-12,40.16,0.403,2.2865309038942483,195.92999999999998,-131.92999999999998,False,True,2789.76,0.32664727198489263,False
ITM10049,Pharma,80,31,8,2,15.21,9.85,0.28,L13,A,161,0.53,30.97,1.02,8,0.87,126,13.76,0.56,2024-04-14,150.52,0.607,5.259697567389875,30.42,49.58,False,False,2477.6,2.6298487836949374,False
ITM10050,Pharma,102,90,4,2,31.06,2.28,0.81,L46,D,165,2.05,162.19,0.32,7,0.75,92,12.95,0.25,2024-07-08,69.66,0.601,3.2839665164198326,62.12,39.88,False,False,16543.38,1.6419832582099163,False
ITM10051,Pharma,142,91,12,7,18.34,8.72,0.49,L45,C,46,3.88,75.76,0.74,5,0.87,973,2.82,0.22,2024-06-09,141.51,0.482,7.742639040348964,128.38,13.620000000000005,False,False,10757.92,1.1060912914784233,False
ITM10052,Pharma,377,50,14,5,17.35,4.21,1.0,L78,B,30,4.82,24.98,1.01,5,0.88,206,14.02,0.24,2024-07-30,112.59,0.61,21.72910662824207,86.75,290.25,False,False,9417.460000000001,4.345821325648414,False
ITM10053,Automotive,35,83,13,6,2.86,4.12,0.28,L34,D,170,2.44,60.44,0.12,7,0.83,579,1.14,0.8,2024-01-24,243.0,0.589,12.237762237762238,17.16,17.84,True,False,2115.4,2.0396270396270397,False
ITM10054,Groceries,85,19,3,6,8.2,3.0,0.18,L6,D,139,2.14,139.73,0.16,8,0.81,904,12.51,0.56,2024-10-15,58.48,0.665,10.365853658536587,49.199999999999996,35.800000000000004,False,False,11877.05,1.7276422764227644,False
ITM10055,Electronics,443,66,3,4,45.94,0.92,0.17,L94,D,92,2.51,151.67,0.21,7,0.77,269,4.9,0.88,2024-04-23,183.63,0.634,9.643012625163257,183.76,259.24,False,False,67189.81,2.410753156290814,False
ITM10056,Pharma,164,16,7,9,49.92,3.05,0.85,L59,D,165,2.42,32.77,1.12,0,0.8,634,3.64,0.44,2024-03-15,127.88,0.585,3.28525641025641,449.28000000000003,-285.28000000000003,False,True,5374.280000000001,0.36502849002849,False
ITM10057,Apparel,394,59,6,8,39.25,1.01,0.49,L69,A,152,3.32,157.93,0.74,1,0.85,239,7.28,0.82,2024-01-09,160.24,0.737,10.038216560509554,314.0,80.0,False,False,62224.420000000006,1.2547770700636942,False
ITM10058,Pharma,181,61,3,7,15.05,9.28,0.1,L16,A,10,3.8,80.41,1.8,5,0.77,924,13.56,0.26,2024-05-13,217.18,0.507,12.0265780730897,105.35000000000001,75.64999999999999,False,False,14554.21,1.7180825818699572,False
ITM10059,Apparel,253,42,6,7,20.72,6.79,0.89,L49,B,116,4.03,139.08,1.16,7,0.93,311,12.0,0.71,2024-10-10,113.56,0.632,12.21042471042471,145.04,107.96000000000001,False,False,35187.240000000005,1.74434638720353,False
ITM10060,Apparel,399,10,5,4,37.24,8.92,0.89,L11,C,37,3.42,137.59,1.54,3,0.91,193,14.54,0.49,2024-10-26,116.45,0.66,10.714285714285714,148.96,250.04,False,False,54898.41,2.6785714285714284,False
ITM10061,Pharma,163,62,4,9,48.46,7.31,0.83,L71,C,59,2.47,160.78,1.41,3,0.78,534,8.57,0.42,2024-10-23,32.27,0.553,3.363598844407759,436.14,-273.14,False,True,26207.14,0.37373320493419543,False
ITM10062,Automotive,377,69,11,6,23.32,1.75,0.32,L38,B,44,4.78,142.46,1.09,1,0.73,690,8.15,0.85,2024-08-01,170.06,0.696,16.1663807890223,139.92000000000002,237.07999999999998,False,False,53707.420000000006,2.694396798170383,False
ITM10063,Apparel,207,43,13,3,41.65,9.44,0.44,L81,C,165,3.7,17.38,1.51,9,0.7,327,1.18,0.24,2024-05-31,130.9,0.273,4.969987995198079,124.94999999999999,82.05000000000001,False,False,3597.66,1.6566626650660263,False
ITM10064,Apparel,341,13,3,5,48.78,9.05,0.77,L80,A,146,2.42,108.7,1.13,0,0.88,863,3.53,0.96,2024-03-19,245.56,0.702,6.990569905699057,243.9,97.1,False,False,37066.700000000004,1.3981139811398113,False
ITM10065,Pharma,469,26,9,5,43.8,3.81,0.54,L47,D,161,2.51,41.57,0.83,9,0.76,751,7.97,0.83,2024-04-10,137.39,0.561,10.707762557077626,219.0,250.0,False,False,19496.33,2.141552511415525,False
ITM10066,Apparel,493,13,6,3,12.13,1.56,0.24,L74,C,141,4.18,194.29,0.93,8,0.7,712,11.54,0.48,2024-06-17,291.53,0.537,40.64303380049464,36.39,456.61,False,False,95784.97,13.547677933498214,False
ITM10067,Apparel,32,52,7,3,1.39,7.19,0.32,L25,D,50,2.48,58.61,1.69,6,0.81,966,12.52,0.99,2024-04-27,59.82,0.638,23.021582733812952,4.17,27.83,True,False,1875.52,7.673860911270984,False
ITM10068,Pharma,203,99,12,9,25.11,7.42,0.98,L91,D,76,2.82,89.82,1.17,8,0.99,356,4.97,0.36,2024-07-13,87.45,0.459,8.084428514536041,225.99,-22.99000000000001,False,True,18233.46,0.898269834948449,False
ITM10069,Pharma,130,13,7,6,27.04,9.02,0.24,L9,A,57,1.81,47.37,0.82,1,0.91,945,10.97,0.52,2024-10-18,123.65,0.73,4.8076923076923075,162.24,-32.24000000000001,False,True,6158.099999999999,0.8012820512820512,False
ITM10070,Electronics,434,10,3,4,10.86,1.0,0.75,L6,D,95,4.28,35.57,0.44,9,0.96,656,12.6,0.91,2024-05-05,59.42,0.718,39.96316758747698,43.44,390.56,False,False,15437.380000000001,9.990791896869245,False
ITM10071,Automotive,309,80,8,3,14.95,1.85,0.53,L85,C,67,2.85,124.18,1.04,4,0.74,599,6.25,1.0,2024-09-12,291.97,0.647,20.668896321070235,44.849999999999994,264.15,False,False,38371.62,6.889632107023412,False
ITM10072,Automotive,314,59,11,4,38.49,6.18,0.77,L30,A,48,2.99,103.7,0.58,1,0.72,205,10.74,0.39,2024-10-08,195.88,0.687,8.157963107300597,153.96,160.04,False,False,32561.8,2.0394907768251493,False
ITM10073,Apparel,470,82,4,9,24.05,6.38,0.7,L99,B,34,4.46,81.19,1.92,9,0.7,349,7.12,0.79,2024-12-01,13.25,0.421,19.54261954261954,216.45000000000002,253.54999999999998,False,False,38159.299999999996,2.171402171402171,False
ITM10074,Automotive,411,70,9,8,16.55,0.82,0.5,L38,A,69,4.64,26.23,1.03,6,0.99,396,14.8,0.44,2024-12-16,177.77,0.66,24.83383685800604,132.4,278.6,False,False,10780.53,3.104229607250755,False
ITM10075,Apparel,234,44,8,2,31.51,4.27,0.42,L11,C,126,4.21,149.83,0.12,8,0.79,472,1.09,0.81,2024-06-21,236.56,0.563,7.4262139003490955,63.02,170.98,False,False,35060.22,3.7131069501745477,False
ITM10076,Electronics,481,17,7,5,32.99,6.05,0.78,L30,A,95,0.79,11.11,0.28,2,0.84,475,6.8,0.3,2024-05-11,24.88,0.651,14.580175810851772,164.95000000000002,316.04999999999995,False,False,5343.91,2.9160351621703544,False
ITM10077,Pharma,139,33,6,6,38.7,7.51,0.39,L13,C,123,2.5,96.96,0.64,0,0.82,91,4.69,0.47,2024-09-07,177.6,0.657,3.5917312661498704,232.20000000000002,-93.20000000000002,False,True,13477.439999999999,0.5986218776916451,False
ITM10078,Pharma,401,92,6,5,8.68,3.5,0.81,L49,C,93,2.04,130.19,0.28,3,0.92,365,12.9,0.26,2024-11-24,118.55,0.72,46.19815668202765,43.4,357.6,False,False,52206.19,9.23963133640553,False
ITM10079,Pharma,74,45,8,6,37.33,5.1,0.71,L36,A,164,1.46,91.84,1.8,3,0.79,687,5.02,0.59,2024-09-08,178.63,0.503,1.982319849986606,223.98,-149.98,False,True,6796.16,0.3303866416644343,False
ITM10080,Automotive,46,59,6,9,30.37,8.23,0.62,L59,C,133,4.59,33.98,1.72,5,0.86,874,8.61,0.76,2024-08-23,83.26,0.567,1.51465261771485,273.33,-227.32999999999998,True,True,1563.08,0.16829473530165,False
ITM10081,Electronics,137,52,7,2,3.82,9.56,0.43,L82,B,120,4.51,157.87,1.94,4,1.0,126,11.36,0.5,2024-03-27,203.14,0.577,35.86387434554974,7.64,129.36,False,False,21628.190000000002,17.93193717277487,False
ITM10082,Automotive,240,36,8,5,39.09,2.69,0.28,L47,C,51,2.59,71.55,1.44,4,0.83,145,7.96,0.69,2024-06-29,204.69,0.586,6.139677666922486,195.45000000000002,44.54999999999998,False,False,17172.0,1.2279355333844972,False
ITM10083,Automotive,250,41,7,2,19.77,2.9,0.74,L21,B,61,1.11,35.6,1.33,8,0.87,312,6.75,0.66,2024-03-27,166.46,0.503,12.645422357106728,39.54,210.46,False,False,8900.0,6.322711178553364,False
ITM10084,Electronics,72,87,9,9,17.19,9.43,0.18,L48,B,57,0.56,114.55,1.85,0,0.85,868,1.6,0.44,2024-03-12,277.89,0.494,4.18848167539267,154.71,-82.71000000000001,True,True,8247.6,0.4653868528214078,False
ITM10085,Electronics,314,27,11,6,22.96,4.26,0.97,L46,C,41,2.47,13.64,1.9,7,0.94,786,1.32,0.59,2024-10-06,273.75,0.394,13.67595818815331,137.76,176.24,False,False,4282.96,2.2793263646922184,False
ITM10086,Electronics,340,37,12,3,17.96,7.32,0.98,L27,D,161,0.68,71.57,1.77,7,0.78,672,14.4,0.26,2024-09-07,23.79,0.483,18.930957683741646,53.88,286.12,False,False,24333.8,6.310319227913882,False
ITM10087,Electronics,420,38,9,8,17.58,6.32,0.22,L86,B,140,3.24,152.62,1.74,7,0.75,799,10.01,0.57,2024-04-04,94.07,0.483,23.890784982935156,140.64,279.36,False,False,64100.4,2.9863481228668944,False
ITM10088,Pharma,252,25,9,5,40.6,3.21,0.19,L35,B,127,3.24,183.42,1.38,2,0.93,254,12.55,0.57,2024-10-04,115.64,0.689,6.206896551724138,203.0,49.0,False,False,46221.84,1.2413793103448276,False
ITM10089,Groceries,177,56,6,2,7.1,6.71,0.47,L90,A,164,4.55,122.43,0.1,9,0.82,337,7.73,0.22,2024-11-24,26.03,0.521,24.929577464788732,14.2,162.8,False,False,21670.11,12.464788732394366,False
ITM10090,Groceries,456,68,3,7,48.56,6.73,0.97,L88,B,177,1.36,51.35,0.92,7,0.97,312,4.66,0.61,2024-01-31,161.85,0.546,9.390444810543658,339.92,116.07999999999998,False,False,23415.600000000002,1.341492115791951,False
ITM10091,Electronics,288,40,10,5,28.19,6.13,0.46,L83,B,32,2.17,51.8,1.31,1,0.89,637,5.12,0.79,2024-09-25,17.13,0.653,10.216388790351187,140.95000000000002,147.04999999999998,False,False,14918.4,2.0432777580702375,False
ITM10092,Groceries,40,13,6,5,9.96,1.45,0.43,L10,B,144,4.37,124.74,1.14,7,0.87,985,1.61,0.56,2024-01-18,206.64,0.453,4.016064257028112,49.800000000000004,-9.800000000000004,False,True,4989.599999999999,0.8032128514056224,False
ITM10093,Groceries,422,46,3,5,7.43,9.95,0.73,L78,B,136,2.63,87.28,1.66,7,0.72,704,12.07,0.72,2024-02-08,10.78,0.543,56.79676985195155,37.15,384.85,False,False,36832.16,11.35935397039031,False
ITM10094,Electronics,72,26,7,4,29.98,4.3,0.26,L82,D,46,0.77,43.68,1.66,2,0.92,364,9.14,0.63,2024-12-08,19.26,0.626,2.401601067378252,119.92,-47.92,False,True,3144.96,0.600400266844563,False
ITM10095,Groceries,294,48,10,2,32.02,6.56,0.43,L22,B,16,1.0,159.61,1.24,3,0.91,418,7.73,0.83,2024-01-25,251.79,0.667,9.181761399125545,64.04,229.95999999999998,False,False,46925.340000000004,4.5908806995627724,False
ITM10096,Automotive,332,57,6,2,3.6,8.91,0.36,L69,C,86,4.16,48.05,0.14,8,0.89,646,12.93,0.61,2024-01-04,83.26,0.698,92.22222222222221,7.2,324.8,False,False,15952.599999999999,46.11111111111111,False
ITM10097,Apparel,300,55,14,5,12.91,4.52,0.64,L94,D,91,3.85,71.11,0.8,8,0.78,957,7.23,0.47,2024-07-30,33.56,0.506,23.237800154918666,64.55,235.45,False,False,21333.0,4.647560030983733,False
ITM10098,Apparel,233,99,10,9,39.98,7.85,0.25,L32,B,104,4.44,21.67,0.53,9,0.98,301,14.27,0.86,2024-03-11,125.85,0.725,5.82791395697849,359.82,-126.82,False,True,5049.110000000001,0.6475459952198322,False
ITM10099,Electronics,50,57,10,9,3.43,9.73,0.59,L21,C,31,1.03,143.26,0.74,8,0.8,382,1.19,0.25,2024-11-18,24.78,0.392,14.577259475218659,30.87,19.13,True,False,7163.0,1.6196954972465176,False
ITM10100,Pharma,356,48,5,3,42.9,3.91,0.87,L60,C,87,3.92,62.3,1.27,9,0.75,793,14.78,0.43,2024-04-28,227.62,0.526,8.298368298368299,128.7,227.3,False,False,22178.8,2.7661227661227663,False
ITM10101,Electronics,202,13,11,5,33.25,4.35,0.56,L49,D,91,3.45,54.24,0.23,5,1.0,475,12.42,0.67,2024-02-04,153.3,0.777,6.075187969924812,166.25,35.75,False,False,10956.48,1.2150375939849625,False
ITM10102,Pharma,42,39,5,4,22.29,9.1,0.72,L35,D,154,1.55,67.64,0.14,0,0.92,344,5.97,0.88,2024-12-28,170.06,0.826,1.8842530282637955,89.16,-47.16,False,True,2840.88,0.47106325706594887,False
ITM10103,Apparel,51,39,3,6,17.98,2.02,0.17,L82,C,28,4.88,176.08,0.93,7,0.82,880,9.34,0.26,2024-03-18,228.37,0.508,2.836484983314794,107.88,-56.879999999999995,False,True,8980.08,0.47274749721913234,False
ITM10104,Electronics,465,31,4,4,1.94,0.77,0.5,L89,D,104,3.07,108.42,1.61,8,0.98,691,13.1,0.28,2024-01-05,237.49,0.506,239.69072164948454,7.76,457.24,False,False,50415.3,59.922680412371136,False
ITM10105,Automotive,93,84,8,9,41.44,9.13,0.19,L72,D,48,4.58,40.0,0.16,7,0.73,334,7.74,0.43,2024-04-21,49.51,0.579,2.2442084942084946,372.96,-279.96,False,True,3720.0,0.2493564993564994,False
ITM10106,Groceries,29,75,14,3,7.99,8.31,0.64,L29,A,126,4.37,157.15,1.71,0,0.73,366,1.71,0.48,2024-09-15,91.28,0.494,3.629536921151439,23.97,5.030000000000001,True,False,4557.35,1.209845640383813,False
ITM10107,Pharma,475,21,12,9,16.17,9.74,0.35,L88,D,45,2.0,49.61,0.83,5,0.9,561,13.65,0.87,2024-08-21,60.94,0.753,29.37538651824366,145.53000000000003,329.46999999999997,False,False,23564.75,3.2639318353604065,False
ITM10108,Groceries,73,45,4,9,28.89,1.05,0.36,L42,A,24,2.91,88.37,0.32,8,0.75,78,8.24,0.97,2024-07-10,25.67,0.662,2.5268258913118724,260.01,-187.01,False,True,6451.01,0.2807584323679858,False
ITM10109,Groceries,71,27,8,9,13.05,1.98,0.17,L99,D,166,2.44,117.93,1.18,8,0.98,789,8.63,0.21,2024-01-31,165.88,0.475,5.440613026819923,117.45,-46.45,False,True,8373.03,0.604512558535547,False
ITM10110,Electronics,167,99,3,5,25.36,1.5,0.38,L100,D,69,3.69,121.04,1.91,6,0.95,343,1.19,0.21,2024-11-12,82.44,0.337,6.585173501577287,126.8,40.2,False,False,20213.68,1.3170347003154574,False
ITM10111,Groceries,179,62,13,9,40.66,6.99,0.56,L8,C,177,3.15,23.12,1.13,6,0.79,56,2.4,0.89,2024-11-22,54.65,0.535,4.402361042793901,365.93999999999994,-186.93999999999994,False,True,4138.4800000000005,0.4891512269771001,False
